iter	Passed	Remaining
660	1182	606
661	1185	605
662	1187	603
663	1191	603
664	1193	601
665	1194	599
666	1196	597
667	1197	595
668	1199	593
669	1202	592
670	1206	591
671	1208	589
672	1209	587
673	1210	585
674	1212	583
675	1215	582
676	1217	580
677	1219	579
678	1220	577
679	1222	575
680	1223	573
681	1225	571
682	1226	569
683	1227	567
684	1230	566
685	1233	564
686	1234	562
687	1236	560
688	1237	558
689	1239	556
690	1240	554
691	1241	552
692	1243	550
693	1247	549
694	1248	548
695	1250	546
696	1251	544
697	1253	542
698	1254	540
699	1256	538
700	1257	536
701	1260	535
702	1263	533
703	1265	531
704	1267	530
705	1268	528
706	1269	526
707	1271	524
708	1274	522
709	1278	522
710	1280	520
711	1281	518
712	1283	516
713	1285	514
714	1286	512
715	1287	510
716	1289	508
717	1292	507
718	1294	505
719	1295	503
720	1297	501
721	1298	500
722	1300	498
723	1301	496
724	1302	494
725	1304	492
726	1306	490
727	1309	489
728	1310	487
729	1312	485
730	1313	483
731	1314	481
732	1316	479
733	1317	477
734	1318	475
735	1320	473
736	1322	471
737	1324	470
738	1326	468
739	1327	466
740	1329	464
741	1330	462
742	1331	460
743	1333	458
744	1334	456
745	1336	454
746	1339	453
747	1340	451
748	1341	449
749	1343	447
750	1344	445
751	1346	443
752	1348	442
753	1349	440
754	1350	438
755	1353	436
756	1355	435
757	1356	433
758	1358	431
759	1359	429
760	1361	427
761	1362	425
762	1363	423
763	1365	421
764	1366	419
765	1369	418
766	1370	416
767	1372	414
768	1373	412
769	1375	410
770	1376	408
771	1378	406
772	1379	405
773	1380	403
774	1383	401
775	1385	400
776	1387	398
777	1388	396
778	1390	394
779	1391	392
780	1393	390
781	1394	388
782	1396	386
783	1397	385
784	1400	383
785	1402	381
786	1403	379
787	1405	378
788	1406	376
789	1408	374
790	1409	372
791	1410	370
792	1412	368
793	1414	366
794	1416	365
795	1417	363
796	1419	361
797	1420	359
798	1422	357
799	1423	355
800	1425	354
801	1426	352
802	1428	350
803	1430	348
804	1432	346
805	1433	345
806	1435	343
807	1436	341
808	1438	339
809	1439	337
810	1440	335
811	1442	333
812	1443	332
813	1445	330
814	1447	328
